@relation 'creditcard-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute V4 numeric
@attribute V10 numeric
@attribute V14 numeric
@attribute V17 numeric
@attribute V20 numeric
@attribute V24 numeric
@attribute Class {0,1}

@data
1.086963,1.334414,0.334119,-0.824644,0.033804,0.756502,1
-0.201805,0.472084,0.151204,-0.604161,0.364681,0.518243,0
3.193648,-8.745973,-10.19353,-14.668771,0.66731,-0.168432,1
5.148263,-8.537758,-11.608002,-11.939092,0.135711,-0.33945,1
1.574113,-0.608998,-1.599416,0.790143,-0.196687,-0.475255,0
6.370895,-8.120962,-5.843528,-11.756256,1.703888,0.144011,1
-2.440981,-0.724693,1.147277,-0.529373,-0.060018,1.023525,0
8.904157,-22.187089,-3.926207,-12.462315,2.812241,0.254836,1
1.749293,-5.587794,-6.665177,-4.570529,1.252967,-0.294885,1
3.416754,-4.001742,-5.281678,-4.442082,2.87526,-0.078946,1
1.449004,-0.071976,-0.071304,0.222792,-0.211934,0.037333,0
-0.532695,0.03216,0.4765,-0.854111,0.031992,1.042905,0
0.011324,-1.159425,-0.38436,2.363664,-0.293496,-1.149236,0
1.049327,-2.495619,-3.455197,-7.140326,0.025427,-0.050607,1
6.711855,-15.346099,-9.93568,-18.383852,0.208879,0.534644,1
4.16472,-6.287803,-8.458975,-10.576015,0.318995,0.139941,1
1.074052,-0.365451,0.877176,-0.280742,0.477357,0.049247,0
11.864868,-13.088891,-13.761018,-11.962954,0.992279,-1.043414,1
0.517598,0.021445,0.378559,-0.121212,-0.07441,-0.079406,0
1.247179,-0.026611,-0.314234,0.382001,-0.381504,-0.70809,0
6.214767,-11.298156,-14.555957,-25.162799,1.384743,0.536719,1
1.377135,-0.164383,-0.627553,0.814434,-0.284729,0.557358,0
-0.641777,-0.468857,0.815217,1.2035,-0.021524,0.57014,0
4.534479,-0.870997,-7.560132,-3.410275,-1.246996,0.120771,1
0.613118,0.774166,0.199364,0.16132,-0.451836,0.34317,0
-0.087498,-0.003102,1.050585,1.989842,0.476036,0.024925,0
3.195291,-2.996669,-4.757074,-5.356465,0.002749,0.237076,1
-0.151513,-3.158127,-6.393373,-3.348896,-0.102294,0.358493,1
3.373001,-3.754054,-4.571268,-9.250635,-0.320541,0.097671,1
0.85174,0.239483,-0.406301,-0.918643,-0.151946,-1.054776,0
-0.903806,-0.867235,0.321275,-0.430696,-0.198409,-0.013104,0
4.416661,-5.009249,-6.763334,-3.754128,0.422743,0.473246,1
-0.578356,-0.351075,-0.597437,0.473898,-0.120714,0.604827,0
-0.26744,-0.087568,-1.014844,-0.532204,-0.2178,-0.6279,0
9.648311,-11.2014,-10.1402,-17.506612,-2.147181,0.544867,1
10.648505,-13.202577,-11.41233,-18.174617,-1.376298,0.519952,1
9.584969,-19.836149,0.116303,-18.108261,5.804551,0.513411,1
5.967587,-4.707571,-10.544011,-5.133081,0.558425,-0.958925,1
-0.607972,-0.262252,1.44825,0.04003,-0.048346,0.290319,0
0.560463,-0.186109,0.444806,1.112526,-0.323959,-0.793618,0
-0.861451,-0.672307,0.684874,-0.318842,0.193158,0.246045,0
2.865463,1.713538,0.27471,0.472995,0.24758,0.833886,1
-0.045464,-0.02403,0.31867,-0.655246,-0.249754,0.6512,0
-1.255593,-1.481246,-0.49935,-0.207707,-0.003469,0.451208,1
-1.846002,0.752671,0.25244,-0.09272,0.163431,1.045688,0
12.67276,6.601719,-2.158797,-0.566628,-14.562079,1.542827,0
0.452675,0.015363,0.883805,-0.005939,-0.317292,-0.06275,0
3.289291,-4.320536,-4.857777,-4.186808,-0.447039,0.563797,1
4.932199,-8.099119,-12.991466,-12.734394,1.129532,-0.405859,1
-3.414484,-1.875668,0.446879,-0.907078,-0.169678,-0.353789,0
6.136378,-4.565252,-10.904459,0.83564,0.054796,-0.258094,1
0.05374,0.517568,-0.43169,-0.053961,-1.463994,-0.400774,1
2.32448,-4.881143,-6.174288,-6.536521,0.560478,-0.523582,1
1.158253,-1.965309,-1.958876,2.498325,1.784449,0.203839,1
0.669327,-4.156354,-3.103938,-3.960623,0.536916,-0.368344,1
11.844777,-13.002709,-13.517072,-11.803815,0.993585,-1.047184,1
8.246147,-12.011161,-15.297656,-21.338195,1.115247,0.390188,1
-0.651216,-0.173532,0.831406,-0.425341,-0.184788,-0.059527,0
0.536528,-0.12946,0.130781,0.076824,-0.163234,-0.048862,0
-0.505671,-0.714318,0.708015,-0.215304,-0.289509,0.442813,0
-0.109856,0.627945,1.248837,0.379326,-0.687447,-0.004109,0
3.246816,-4.441484,-6.106183,-2.084067,3.189355,-0.624231,1
4.194211,-6.246243,-7.543646,-7.339698,0.81471,-0.060211,1
1.871331,-4.626919,-6.766633,-0.370333,0.058063,-0.464376,1
5.252842,-7.833556,-8.604759,-12.624394,0.284555,-0.216443,1
5.66482,-15.124163,-12.381606,-19.671881,-0.995787,0.429781,1
5.364027,-7.17535,-8.983052,-9.785677,0.792275,-0.37088,1
6.009415,-4.063098,-9.150951,-2.892555,0.241921,-0.168597,1
-0.178237,-1.187529,1.698272,0.193955,-0.010653,-0.032478,0
5.720847,-4.070257,-10.516465,0.462929,0.338161,0.421146,1
4.342228,-4.170623,-4.710498,-6.131887,0.724381,-0.016186,1
4.945315,0.26101,-2.298415,1.915835,0.910662,-0.172026,0
2.378367,-2.829098,-4.704509,6.024397,-0.23064,-0.023524,1
-0.51351,-0.040881,-0.754496,2.050152,0.308106,0.569162,0
2.526042,-0.01781,0.908481,1.712367,0.144476,0.005397,0
1.462889,0.171551,0.87151,-0.303398,0.208946,-0.798684,0
-0.240663,-0.478291,0.153837,0.003259,-0.007978,-0.086656,0
0.195984,-0.670658,0.7675,0.800241,-0.144479,0.639919,0
0.147928,-0.519829,1.543363,1.20574,-0.300057,-2.381726,0
-1.81645,0.65045,-0.18574,-0.374539,0.242378,1.0038,0
5.340242,-4.466284,-8.225569,-8.815785,0.185325,-0.154757,1
-0.086011,-1.545883,1.16258,1.847121,-0.6043,-0.075266,0
-0.572676,-5.459602,-4.058523,-5.6034,0.825566,-0.600514,1
3.069453,-3.995211,-5.417499,-3.700707,0.692537,0.537102,1
-1.499346,1.536006,-0.481317,-0.059217,-0.171622,-0.005809,0
0.595607,-0.566714,-1.782596,0.108219,0.136428,0.696037,0
-0.454595,-0.643627,0.305811,-0.38954,-0.078515,-0.41748,0
5.467685,-4.594952,-8.138695,-10.246755,-0.158971,-0.245862,1
1.384394,-4.155838,-4.555667,-4.674667,0.668124,0.096527,1
11.34512,-16.601197,-7.581023,-16.092032,2.419921,0.386039,1
-1.432994,-0.303914,0.159902,-1.189773,-0.148628,-0.459136,0
4.959644,2.999507,0.455639,0.573619,7.747444,0.199438,0
0.790371,-0.8679,-1.635145,1.325794,-0.067205,0.443311,1
-0.698534,-0.652897,0.638473,-0.141887,0.729808,0.034371,0
6.047445,-4.959493,-9.252307,0.784427,0.388307,-0.219845,1
6.991214,-7.864506,-7.974251,-12.760094,-0.46039,-0.41543,1
0.007228,-0.911145,-0.204354,-0.939958,0.192149,0.590173,0
0.335336,-0.229314,-0.023931,-0.399242,-0.067207,0.071577,0
3.258845,-5.117259,-8.660771,-11.046382,-0.815086,-0.021985,1
2.087076,-3.095094,-4.510124,-6.053319,0.380545,-0.624065,1
-1.247274,-0.129543,0.374955,-0.803976,0.051897,1.063817,0
0.053249,0.240181,0.45056,-0.846405,-0.197014,-1.101308,0
5.337048,-3.990551,-6.043393,-10.075646,-1.562162,-0.071361,1
-0.58077,-0.698699,1.210068,0.734311,-1.439846,-0.354893,0
-0.241007,0.650803,-0.191936,-0.523796,-0.135718,-0.43328,0
1.678889,-5.529131,-2.90119,-7.29096,-0.20327,-0.245727,1
0.475152,-0.136883,0.133394,-0.490093,-0.285184,-0.021751,0
1.152671,0.334533,-0.472026,0.57046,-0.510614,-0.256268,1
-0.946864,-1.768383,0.36745,0.780011,0.189861,0.623575,0
5.84297,-3.92651,-8.396573,-6.642482,0.461032,-0.336238,1
-1.832043,1.238178,-0.546463,0.650431,-0.317994,0.908058,0
-1.0084,0.543178,-0.106442,0.099961,0.247169,-1.326194,0
-0.113718,-0.565695,1.474752,0.510448,-0.873308,0.177496,0
1.382817,-0.264391,-0.415841,0.1414,-0.120822,-0.744608,0
3.728439,-4.029129,-5.757216,-1.909017,2.932758,-0.635874,1
2.756558,-3.951003,-4.732768,-4.231022,1.503688,-0.145493,1
1.207708,0.037089,1.21603,0.9215,0.000563,0.009062,0
0.306463,0.026375,0.224822,-0.638963,-0.281321,0.695783,0
0.655595,0.936264,0.857909,1.132458,0.156517,-1.614681,0
-0.577201,-0.16002,0.09224,-0.283876,-0.153272,-0.275316,0
-2.680692,-2.629855,0.3073,1.075393,0.036827,-0.928435,0
3.593161,-5.836453,-11.002289,-1.3519,-0.280533,-0.714849,1
1.286244,-3.71745,-9.657627,-9.276636,0.51353,0.103916,1
1.993117,-2.231209,-5.141823,4.090983,0.303262,-1.15848,1
1.167552,-0.626375,0.402729,0.80105,0.019308,-0.10381,0
6.554191,-14.533162,-11.567006,-19.172996,0.113244,0.573544,1
6.514573,-3.074034,-5.254253,-2.421536,1.147204,-0.352887,1
4.303403,-5.996596,-6.778184,-6.857613,0.847085,-0.031393,1
2.730668,-6.71672,-7.506169,-6.304753,0.500779,0.071696,1
2.419675,-3.236784,-4.458895,-5.07145,0.222667,0.308061,1
3.121459,-5.17566,-6.745561,-5.558067,0.11476,0.257209,1
-0.482813,0.919573,-0.358149,0.968392,1.458433,-0.313927,0
0.240217,-0.185883,-0.036878,-0.851593,-0.106734,-1.111566,0
6.70278,-13.386683,-14.979477,-20.299217,0.520732,0.403858,1
2.624781,1.619173,-0.413011,-0.516854,0.525021,-0.132946,0
4.173897,0.184509,-0.699073,2.076899,-0.213056,-0.59342,0
-2.95686,0.566721,-0.737328,0.227443,-0.158854,0.019739,0
3.787548,0.912806,1.322887,0.752611,-0.368014,-1.007959,1
1.391437,-0.143883,-0.046948,0.231052,-0.143183,0.110794,0
6.086236,-8.928656,-8.829359,-13.629721,1.57295,0.117028,1
8.010823,-12.965481,-14.116156,-18.716765,0.48393,0.360319,1
0.935265,-2.961996,-4.015787,-6.649358,0.168891,0.081004,1
3.831112,-3.224559,-6.020579,-1.310752,0.285792,0.358433,1
0.759759,-1.474974,-2.332793,1.468052,0.585435,-0.254752,1
11.190895,-16.255612,-7.013607,-16.668369,2.528512,0.334418,1
0.231658,0.072554,0.27767,-0.496162,-0.221316,-0.781205,0
0.23434,-0.520399,-0.395804,0.035892,0.186386,0.724978,0
5.543972,-3.851722,-10.006243,0.18847,0.252571,-0.007013,1
-0.541111,0.510033,-0.745636,0.366624,-0.094633,-0.826832,0
2.419012,-5.487425,-7.862809,-2.284748,-0.031085,0.322913,1
0.635549,-0.084009,0.280084,-0.245704,-0.053199,0.740428,0
-0.252424,-0.903569,-0.368765,0.247558,-0.258984,-0.532779,0
-0.578781,-0.583212,-0.402022,-0.745566,-0.159882,0.657448,0
-1.018281,0.942949,0.538092,0.313231,-0.032332,0.615862,0
-1.279835,1.367695,-0.061047,1.158293,-0.411832,0.041712,0
2.796987,-3.245109,-5.41959,-4.285071,0.270459,0.508529,1
4.632411,-1.347557,-7.445296,5.665429,-0.381444,-1.185942,1
1.009948,0.24341,-0.909425,-0.377518,-0.012832,1.082913,0
7.723502,-2.239066,-13.237559,-5.492536,-0.176673,-0.628334,1
-0.733456,-0.403769,0.067351,-0.660264,-0.003264,-0.660832,0
4.173516,0.228849,-2.954167,1.714511,-0.172216,-0.263683,1
0.710935,-0.328397,-1.248123,-0.221645,0.210104,1.271175,0
0.98741,-3.841098,-4.898183,-9.334329,-0.02259,-0.251283,1
10.107274,-12.938929,-9.809882,-17.54203,-0.085501,-0.554271,1
0.52103,-0.186223,-0.275686,-0.46465,-0.201173,0.023624,0
1.570736,-0.766504,-2.619359,2.578891,0.41809,-0.130856,0
9.194935,-13.009403,-8.592047,-21.017898,-1.691482,0.79519,1
5.617556,1.783739,1.268147,0.811005,-0.038314,1.091435,1
0.259734,0.287497,0.73332,-0.294001,-0.225517,0.806297,0
0.468829,-0.089128,-1.017073,-0.785695,-0.140864,0.956714,0
-0.681836,0.074089,0.462147,-0.267826,-0.144523,0.713834,0
-0.923952,-2.114063,-1.725797,2.020841,0.636083,0.453665,0
1.146116,0.137637,-0.175054,-1.019157,-0.146518,0.027273,0
1.201849,-2.975267,-5.165229,-5.671739,0.276893,0.110144,1
-0.574578,0.96066,0.668515,0.716527,-0.714588,-1.491049,0
-1.546361,-0.889023,0.582214,-0.15026,-0.130307,0.066659,0
-1.166997,3.068382,-1.049943,-0.693523,1.055582,-0.116949,0
-1.345066,1.5508,-0.061621,0.538776,-0.263483,0.012915,0
2.357096,-6.234561,-6.608068,-4.835112,0.315957,-0.42555,1
8.594342,-13.136698,-18.049998,-14.744902,1.305862,-1.201685,1
3.079844,-3.520128,-5.387831,-2.285573,1.141615,0.90126,1
1.921356,0.225934,-0.126756,0.327006,-1.376721,0.418552,1
-1.366204,1.158012,0.178896,0.506567,-2.382273,0.145716,0
11.165526,-14.166795,-14.666389,-12.602596,1.111502,-0.981749,1
-0.562217,-0.356785,0.645438,0.120718,0.091331,0.104037,0
-0.685771,-1.782033,-0.99721,1.020405,-0.168022,-0.097321,0
4.035987,-6.447202,-8.658268,-10.708018,0.342122,0.144761,1
5.620486,-4.230984,-9.861372,0.591319,0.354773,-0.667909,1
0.518857,-0.214789,-0.033359,-0.596041,0.002577,-0.147712,0
4.328199,-5.576023,-9.405423,-9.802562,-0.039046,-0.217565,1
-1.681159,1.662671,0.31702,0.4714,-0.339022,0.328377,0
1.002113,0.00886,0.377893,-0.634254,-0.147662,-0.143977,0
0.630636,0.064616,0.046344,-0.43992,-0.132054,0.078902,0
6.310661,-1.873331,-3.941965,-8.152829,0.381682,0.53249,1
3.88096,-5.726817,-7.052311,-8.58807,-0.346456,-0.123011,1
3.794949,-3.252634,-6.233044,-9.516411,0.019626,-0.256148,1
1.028745,0.498393,0.476184,0.790574,-0.031739,-0.117349,0
-0.734509,-0.526771,0.396245,0.551204,-0.200567,-0.996324,0
0.042433,0.339541,-0.075819,0.534369,0.660061,1.030731,0
3.021052,-4.095649,-3.501703,-2.941876,-0.068598,-0.295497,1
0.756424,-0.585778,-1.043705,1.14313,-0.102772,0.11004,1
0.484077,-0.474276,-0.144758,1.204837,-0.20948,-1.004992,0
5.104799,-3.272569,-4.56601,-2.86575,3.136338,-0.269916,1
7.743215,-2.325113,-13.481705,-5.651765,-0.180279,-0.624399,1
4.367629,-2.808456,-6.599126,6.609366,0.482513,-0.251815,1
0.393913,-0.407693,-0.310677,-0.03019,0.462574,0.626226,0
1.245138,0.802724,-0.288557,0.348737,-1.486094,-0.264852,0
-0.371447,-0.671076,-0.795414,0.897465,-0.965059,-0.217697,0
1.661425,-0.433394,-1.168339,0.601805,-0.268347,0.231044,1
-1.087576,0.270522,-0.378854,0.392077,0.201158,-1.291343,0
-1.223855,-0.202113,-1.680267,0.724502,0.287097,0.676099,0
4.233151,0.259411,-2.757557,1.92935,-0.226108,-0.24238,1
-0.562199,-0.729813,0.721563,-0.523635,-0.148445,0.532327,0
0.905586,-0.550545,-0.819902,0.874891,-0.042515,-0.438908,1
0.67845,0.857638,-0.217225,-0.117786,0.070226,0.655633,0
-0.475243,-3.833741,-5.291925,-4.333118,-0.718706,0.269069,1
1.501887,-2.30111,-6.35302,-4.862971,-0.106945,-0.502151,1
1.669856,-0.102184,-0.456995,-0.051486,-0.001599,-0.061917,0
3.983359,-5.515507,-7.495187,-12.223633,0.270013,0.28203,1
2.805336,-6.999907,-7.417712,-6.293145,0.360924,0.070614,1
6.456588,-4.077585,-11.583898,0.635694,-0.162797,-0.290539,1
0.076798,0.028594,0.873762,-0.230749,-0.255702,0.098183,0
-0.620759,-0.064115,0.260798,-0.35111,0.010692,0.00664,0
5.348303,-8.337707,-12.875494,-12.719207,2.172709,-0.379574,1
-0.828971,0.684574,0.680527,0.562082,0.201653,-0.065886,0
0.862088,0.161053,0.529059,-0.224533,-0.320117,0.382077,0
6.232532,-8.581266,-7.577552,-12.845657,1.621444,0.138972,1
0.540035,0.00054,-0.029395,0.083548,-0.177294,0.668968,0
3.264633,1.015113,-6.220605,-5.044736,-0.531898,0.479496,1
0.327446,0.252128,0.552109,-0.483598,-0.236572,0.067358,0
1.025923,-0.008564,0.743681,-0.078337,0.193906,-0.310099,0
4.284346,-6.82549,-6.94701,-10.564347,-0.541634,0.275662,1
2.204714,-5.416037,-7.914989,-5.856998,0.589575,-1.929717,1
6.028975,0.453505,-8.755449,-3.261435,-1.116581,0.141093,1
0.338338,1.010291,-0.931614,-0.152471,-0.764274,0.355065,1
2.286869,0.169573,-3.431738,-3.901499,0.412801,-0.253327,1
3.819195,-3.955812,-5.249305,-1.312059,0.204138,-0.372216,1
1.401166,-0.091353,0.016087,-0.057279,0.861307,-0.778893,1
7.740555,-12.438945,-8.728645,-20.685028,-0.082275,0.843012,1
3.813544,-2.734156,-4.744413,-4.931112,0.26525,0.187613,1
-1.382484,0.024668,1.557779,0.686442,-1.079206,0.634378,0
-1.041589,-1.134231,0.018081,-0.716554,-0.134281,0.031884,0
-1.254382,0.146038,0.936645,-0.769123,-0.056261,-0.378436,0
1.367442,0.369936,-1.880619,3.321569,-2.140874,0.118263,1
1.213324,-0.473706,-0.873787,-0.406285,1.121422,0.567377,0
-0.375428,0.16023,0.298387,0.00803,0.016317,0.320703,0
6.038515,-9.040396,-9.092533,-13.797475,1.577924,0.095706,1
7.756915,-5.945634,-13.010749,-2.871342,0.816558,-0.75617,1
6.577056,-12.981619,-16.337596,-21.090613,1.191078,0.38443,1
-0.836007,0.680799,-0.957528,0.066478,-0.029425,0.213021,0
0.908658,0.350598,0.498477,-0.352142,0.394025,0.466159,0
1.465562,-0.122272,0.088387,0.383034,-0.21213,0.420164,0
0.027094,0.017276,-0.259879,0.12054,2.442782,-0.654958,0
2.230778,-5.032028,-5.199186,-3.820522,2.285758,0.33354,1
2.058202,-2.155303,-5.053825,4.027366,-0.005913,-0.305178,1
1.063905,-1.353253,0.196832,1.905446,-0.1,0.929461,0
-0.530363,0.037875,0.565864,-0.785237,0.034051,1.038958,0
0.217669,0.242323,0.510311,-0.586802,-0.227713,-0.402796,0
5.185303,-8.40315,-9.466139,-12.448039,-0.123085,-0.564512,1
-0.56682,0.882388,0.305148,-0.931795,-0.266866,-1.360637,0
-2.181483,-1.09428,0.380986,-0.079404,0.019741,0.146664,0
-0.149347,-0.822129,-0.445325,0.916375,0.165896,0.630834,0
6.174078,-8.720245,-8.078241,-13.159267,1.602439,0.130166,1
-0.568751,-0.376545,1.297275,0.00938,-0.125441,0.669422,0
-0.740804,-2.075832,-2.220961,1.233721,-0.278365,-0.605892,0
0.368208,-1.16723,-1.267054,0.413909,-0.066553,0.263015,0
-1.165593,-0.874729,-0.40744,-0.172172,-0.248043,-0.233726,0
-0.397599,-0.711171,-0.246251,-0.34038,-0.214116,0.052153,0
3.812024,-3.076699,-5.876067,-4.424757,0.326773,-0.329256,1
0.894082,0.543187,-0.498522,0.564761,-0.576274,0.699217,1
3.170258,-0.592473,-0.330306,2.298998,-0.217358,0.167608,1
1.432836,0.007039,0.979441,-0.013414,-0.848946,-0.353492,0
11.90617,-13.261652,-14.248316,-12.280965,0.996469,-1.036359,1
-2.68344,0.785055,-0.345294,1.285321,-0.596987,-1.072882,0
1.365765,0.223759,0.224379,-0.475257,-0.274855,-0.095817,0
3.361777,-3.651427,-3.182168,-5.841218,1.607397,0.219925,1
-2.464096,0.9762,-0.310057,0.191833,-0.019506,0.124962,0
0.37924,-0.38367,-0.891864,0.405721,-0.138174,0.384174,0
-0.782549,-1.543439,-0.380348,0.70671,0.650036,-0.165738,0
6.39583,-7.297803,-10.860698,-2.760097,0.408704,-0.288835,1
0.495459,-0.191253,-0.150692,-0.7578,0.166281,-0.890258,0
0.178599,0.153521,-0.196357,-1.335726,0.01272,-0.33542,0
1.449792,-2.796332,-1.181669,-4.446192,-1.928527,0.215683,1
10.296603,-11.627194,-17.230202,-13.639209,1.455878,-1.209264,1
-2.673771,-2.089064,1.095274,-0.773534,1.049759,-0.642991,0
3.343972,0.431009,1.190356,1.135572,-0.16479,0.553532,0
1.558167,-0.389278,0.26794,1.001402,0.334,-0.644716,0
1.004303,-0.832845,-0.506525,0.528861,0.187692,-0.106619,0
-0.116605,-0.184029,-0.031823,-0.787473,0.033257,-0.531805,0
0.16331,-1.134454,0.984993,-0.052419,1.878612,0.111635,1
-1.038501,-1.182264,-0.18839,0.113069,-0.268554,-0.332596,0
-0.888998,-1.503333,-0.891439,0.514609,-0.091572,-0.104431,0
-0.592734,-0.042228,1.144719,1.445317,0.379054,0.017366,0
-1.699388,-0.269839,0.313822,-0.494197,-0.01514,0.68473,0
-0.244475,-0.066708,0.210367,-0.763346,0.026,0.062396,0
8.204144,-14.924655,-14.224404,-15.841616,-0.810146,0.459442,1
0.064423,-1.069722,-1.406843,0.957876,-0.161197,-0.504462,0
0.518826,-0.017685,0.52686,-0.512909,-0.181225,-0.163673,0
-1.483709,1.542368,-0.271398,0.033617,-0.148611,-0.027958,0
-1.857462,0.09602,0.297694,0.183512,0.071317,-0.047044,0
-0.9655,0.989932,0.263767,-0.163319,0.208683,-0.334365,0
4.09723,2.536005,-0.697873,-0.330175,0.689466,0.432347,0
-1.803384,0.553408,-0.160082,-0.325478,-0.238899,0.034623,0
-2.730152,0.945805,0.524015,0.3528,-0.5855,-0.884023,0
0.663842,0.719004,-0.487411,0.55101,0.034048,0.394847,0
2.961297,0.303347,-0.35807,0.294125,0.37242,-0.26391,0
4.455923,-5.39033,-7.019902,-6.288358,0.549613,0.131464,1
-0.698416,-0.996521,0.245205,0.2249,-0.069287,0.250786,0
3.403594,-3.288204,-7.460103,-9.87456,-0.141533,0.158378,1
0.449693,-0.262253,0.771618,-0.636992,-0.046008,-1.706888,0
3.853433,-1.886176,-2.801915,-6.426734,0.370041,-0.567608,1
-0.86137,0.077314,0.277014,-0.822265,0.091787,-0.512871,0
8.174825,-11.519861,-13.026864,-22.883999,0.723314,0.62525,1
